2017-05-21 16:05:31,385 [Worker-113] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: RefactoringKevin:RefactoringKevin:0.0.1-SNAPSHOT @ C:\Users\Kevin\Universidad\4º Grado\Procesos de Ingeniería del Software II\Prácticas\Actividad08\RefactoringKevin\pom.xml.
2017-05-21 16:05:32,664 [Worker-103] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-21 16:05:32,669 [Worker-103] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Kevin\Universidad\4º Grado\Procesos de Ingeniería del Software II\Prácticas\Actividad08\RefactoringKevin\src\main\resources
2017-05-21 16:05:32,671 [Worker-103] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-21 16:05:32,676 [Worker-103] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Kevin\Universidad\4º Grado\Procesos de Ingeniería del Software II\Prácticas\Actividad08\RefactoringKevin\src\test\resources
2017-05-21 16:05:32,700 [Worker-113] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RefactoringKevin/src
2017-05-21 16:05:32,703 [Worker-113] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RefactoringKevin/test
2017-05-21 16:05:32,890 [Worker-113] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-05-21 16:05:33,267 [Worker-113] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: RefactoringKevin:RefactoringKevin:0.0.1-SNAPSHOT @ C:\Users\Kevin\Universidad\4º Grado\Procesos de Ingeniería del Software II\Prácticas\Actividad08\RefactoringKevin\pom.xml.
2017-05-21 16:05:33,523 [Worker-113] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RefactoringKevin/src
2017-05-21 16:05:33,526 [Worker-113] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RefactoringKevin/test
2017-05-21 16:05:33,581 [Worker-113] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-05-21 16:05:33,791 [Worker-109] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-21 16:05:33,796 [Worker-109] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Kevin\Universidad\4º Grado\Procesos de Ingeniería del Software II\Prácticas\Actividad08\RefactoringKevin\src\main\resources
2017-05-21 16:05:33,798 [Worker-109] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-21 16:05:33,802 [Worker-109] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Kevin\Universidad\4º Grado\Procesos de Ingeniería del Software II\Prácticas\Actividad08\RefactoringKevin\src\test\resources
